date,neg,neu,pos
2020/8/15,0.372,0.536,0.092
2020/8/16,0.346,0.588,0.066
2020/8/17,0.318,0.6,0.082
2020/8/18,0.322,0.592,0.086
2020/8/19,0.362,0.546,0.092
2020/8/20,0.368,0.522,0.11
2020/8/21,0.36,0.562,0.078
2020/8/22,0.324,0.596,0.08
2020/8/23,0.376,0.556,0.068
2020/8/24,0.374,0.542,0.084
2020/8/25,0.342,0.57,0.088
2020/8/26,0.37,0.546,0.084
2020/8/27,0.36,0.576,0.064
2020/8/28,0.43,0.498,0.072
2020/8/29,0.412,0.522,0.066
2020/8/30,0.478,0.462,0.06
2020/8/31,0.44,0.518,0.042
2020/9/1,0.386,0.536,0.078
2020/9/2,0.384,0.524,0.092
2020/9/3,0.392,0.544,0.064
2020/9/4,0.386,0.548,0.066
2020/9/5,0.416,0.48,0.104
2020/9/6,0.376,0.526,0.098
2020/9/7,0.392,0.532,0.076
2020/9/8,0.348,0.576,0.076
2020/9/9,0.538,0.426,0.036
2020/9/10,0.5,0.442,0.058
2020/9/11,0.42,0.522,0.058
2020/9/12,0.424,0.51,0.066
2020/9/13,0.448,0.488,0.064
2020/9/14,0.432,0.51,0.058
2020/9/15,0.406,0.53,0.064
2020/9/16,0.432,0.52,0.048
2020/9/17,0.404,0.526,0.07
2020/9/18,0.386,0.53,0.084
2020/9/19,0.418,0.49,0.092
2020/9/20,0.376,0.532,0.092
2020/9/21,0.394,0.536,0.07
2020/9/22,0.43,0.498,0.072
2020/9/23,0.368,0.552,0.08
2020/9/24,0.4,0.512,0.088
2020/9/25,0.45,0.464,0.086
2020/9/26,0.41,0.494,0.096
2020/9/27,0.398,0.53,0.072
2020/9/28,0.36,0.568,0.072
2020/9/29,0.372,0.56,0.068
2020/9/30,0.352,0.54,0.108
2020/10/1,0.364,0.564,0.072
2020/10/2,0.414,0.536,0.05
2020/10/3,0.384,0.538,0.078
2020/10/4,0.406,0.542,0.052
2020/10/5,0.428,0.478,0.094
2020/10/6,0.404,0.528,0.068
2020/10/7,0.384,0.56,0.056
2020/10/8,0.332,0.576,0.092
2020/10/9,0.37,0.586,0.044
2020/10/10,0.386,0.564,0.05
2020/10/11,0.382,0.538,0.08
2020/10/12,0.39,0.534,0.076
2020/10/13,0.356,0.574,0.07
2020/10/14,0.366,0.546,0.088
2020/10/15,0.328,0.594,0.078
2020/10/16,0.394,0.51,0.096
2020/10/17,0.38,0.54,0.08
2020/10/18,0.378,0.524,0.098
2020/10/19,0.356,0.572,0.072
2020/10/20,0.372,0.558,0.07
2020/10/21,0.392,0.536,0.072
2020/10/22,0.38,0.558,0.062
2020/10/23,0.38,0.562,0.058
2020/10/24,0.378,0.54,0.082
2020/10/25,0.384,0.542,0.074
2020/10/26,0.376,0.562,0.062
2020/10/27,0.378,0.538,0.084
2020/10/28,0.406,0.53,0.064
2020/10/29,0.376,0.524,0.1
2020/10/30,0.436,0.514,0.05
2020/10/31,0.378,0.558,0.064
2020/11/1,0.378,0.538,0.084
2020/11/2,0.42,0.482,0.098
2020/11/3,0.33,0.586,0.084
2020/11/4,0.352,0.59,0.058
2020/11/5,0.392,0.56,0.048
2020/11/6,0.394,0.536,0.07
2020/11/7,0.304,0.6,0.096
2020/11/8,0.314,0.606,0.08
2020/11/9,0.328,0.564,0.108
2020/11/10,0.326,0.58,0.094
2020/11/11,0.348,0.582,0.07
2020/11/12,0.382,0.538,0.08
2020/11/13,0.334,0.594,0.072
2020/11/14,0.38,0.532,0.088
2020/11/15,0.398,0.54,0.062
2020/11/16,0.392,0.538,0.07
2020/11/17,0.374,0.53,0.096
2020/11/18,0.414,0.518,0.068
2020/11/19,0.376,0.554,0.07
2020/11/20,0.33,0.598,0.072
2020/11/21,0.43,0.476,0.094
2020/11/22,0.352,0.55,0.098
2020/11/23,0.33,0.574,0.096
2020/11/24,0.326,0.58,0.094
2020/11/25,0.358,0.502,0.14
2020/11/26,0.358,0.526,0.116
2020/11/27,0.376,0.542,0.082
2020/11/28,0.314,0.626,0.06
2020/11/29,0.362,0.532,0.106
2020/11/30,0.374,0.534,0.092
2020/12/1,0.292,0.61,0.098
2020/12/2,0.318,0.574,0.108
2020/12/3,0.348,0.556,0.096
2020/12/4,0.388,0.52,0.092
2020/12/5,0.432,0.492,0.076
2020/12/6,0.386,0.524,0.09
2020/12/7,0.378,0.564,0.058
2020/12/8,0.35,0.554,0.096
2020/12/9,0.37,0.56,0.07
2020/12/10,0.374,0.548,0.078
2020/12/11,0.386,0.526,0.088
2020/12/12,0.346,0.58,0.074
2020/12/13,0.376,0.564,0.06
